brand_and_product_name,package_size_weight
aquarius_isotonic_drink,500ml
arees_pure_drinking_water,1500ml
arees_pure_drinking_water,350ml
arees_pure_drinking_water,500ml
arees_pure_drinking_water_with_lemon_flavour,320ml
areva_100%_pure_apple_juice,12_x_850g
areva_100%_pure_pomegranate_juice,12_x_850ml
asia_farm_barley_syurp,2l
asia_farm_blueberry_juice_drink_concentrate,4l
asia_farm_calamansi_juice_concentrate,4l
asia_farm_fruit_punch_cordial,2l
asia_farm_honeydew_syrup,4l
asia_farm_lemon_tea_cordial_naturally_brewed,2l
asia_farm_mango_cordial,2l
asia_farm_natural_brewed_barley_drink_concentrate,4l
asia_farm_natural_brewed_herbal_tea_drink_concentrate,4l
asia_farm_natural_brewed_lemon_tea_drink_concentrate,4l
asia_farm_natural_brewed_roselle_juice_concentrate,4l
asia_farm_natural_brewed_sour_plum_juice_concentrate,4l
asia_farm_natural_brewed_winter_melon_drink_concentrate,4l
asia_farm_orange_cordial,2l
asia_farm_pink_guava_cordial,2l
asia_farm_purple_tea_citrus_lemon,500_ml
asia_farm_purple_tea_peach_drink,500ml
asia_farm_rose_syrup,4l
asian_favourites_chrysanthemum_tea_less_sugar,300ml
asian_favourites_chrysanthemum_tea_less_sugar_malaysia,250_ml
asian_favourites_chrysanthemum_tea_malaysia,250_ml
asian_favourites_soya_bean_drink_less_sugar,300ml
asian_story_chrysanthemum_tea,1500ml
asian_story_chrysanthemum_tea,250ml
asian_story_chrysanthemum_tea,300ml
asian_story_chrysanthemum_tea,500ml
asian_story_chrysanthemum_tea_sugar_free,250ml
asian_story_chrysanthemum_tea_sugar_free,500ml
asian_story_lemon_barley_drink,250ml
asian_story_lemon_barley_drink,500ml
asian_story_soya_bean_drink,250ml
asian_story_soya_bean_drink,300ml
asian_story_water_chestnut_with_sugar_cane_drink,250ml
asian_story_water_chestnut_with_sugar_cane_drink,500ml
asian_story_winter_melon_tea,1500ml
asian_story_winter_melon_tea,250ml
asian_story_winter_melon_tea,500ml
authentic_tea_house_ayataka,1.5l
authentic_tea_house_ayataka,12_x_300ml
authentic_tea_house_ayataka,24x300ml
authentic_tea_house_ayataka,300ml
authentic_tea_house_ayataka,370ml
authentic_tea_house_ayataka,4_x_300ml
authentic_tea_house_ayataka,500ml
authentic_tea_house_da_hong_pao_oolong_tea,1.5l
authentic_tea_house_da_hong_pao_oolong_tea,12_x_300ml
authentic_tea_house_da_hong_pao_oolong_tea,300ml
authentic_tea_house_da_hong_pao_oolong_tea,370ml
authentic_tea_house_da_hong_pao_oolong_tea,4_x_300ml
authentic_tea_house_da_hong_pao_oolong_tea,500ml
authentic_tea_house_jin_ban_chrysanthemum_tea,300ml
authentic_tea_house_yin_hao,1.5l
authentic_tea_house_yin_hao,12_x_300ml
authentic_tea_house_yin_hao,300ml
authentic_tea_house_yin_hao,370ml
authentic_tea_house_yin_hao,4_x_300ml
authentic_tea_house_yin_hao,500ml
ayam_brand_baked_beans_in_tomato_sauce_vietnam,3kg
ayam_brand_baked_beans_english_recipe,230g
ayam_brand_baked_beans_english_recipe,425g
ayam_brand_baked_beans_in_tomato_sauce,230g
ayam_brand_baked_beans_in_tomato_sauce,425g
ayam_brand_baked_beans_in_tomato_sauce_vietnam,230g
ayam_brand_baked_beans_in_tomato_sauce_vietnam,425g
ayam_brand_baked_beans_in_tomato_sauce_hi-fibre,425g
ayam_brand_baked_beans_in_tomato_sauce_light,230g
ayam_brand_baked_beans_in_tomato_sauce_light,425g
ayam_brand_baked_beans_in_tomato_sauce_vegetarian,425g
ayam_brand_baked_beans_low_gi,230g
ayam_brand_brisling_sardines_in_extra_virgin_olive_oil,105g
ayam_brand_brisling_sardines_in_sunflower_oil,105g
ayam_brand_chilli_tuna_light,160g
ayam_brand_mackerel_in_tomato_sauce,155g
ayam_brand_mackerel_in_tomato_sauce,230g
ayam_brand_mackerel_in_tomato_sauce,425g
"ayam_brand_sandwich_tuna_flakes_in_oil_-_light,_less_salt,_less_fat",150g
ayam_brand_sardines_in_extra_virgin_olive_oil,120g
ayam_brand_sardines_in_extra_virgin_olive_oil_and_chilli,120g
ayam_brand_sardines_in_extra_virgin_olive_oil_and_green_peppercorn,120g
ayam_brand_sardines_in_organic_tomato_sauce,120g
ayam_brand_sardines_in_spring_water,120g
ayam_brand_sardines_in_tomato_garlic_sauce,425g
ayam_brand_sardines_in_tomato_sauce,155g
ayam_brand_sardines_in_tomato_sauce,215g
ayam_brand_sardines_in_tomato_sauce,230g
ayam_brand_sardines_in_tomato_sauce,300g
ayam_brand_sardines_in_tomato_sauce,425g
ayam_brand_sardines_in_tomato_sauce_light_reduced_salt,155g
ayam_brand_sardines_in_tomato_sauce_light_reduced_salt,425g
ayam_brand_sweet_corn_cream_style,425g
ayam_brand_sweet_corn_cream_style_-_reduced_sugar,425g
ayam_brand_tomato_puree,160g
ayam_brand_tomato_puree,220g
ayam_brand_tuna_chunks_in_mineral_water_light,150g
ayam_brand_tuna_chunks_in_olive_oil_light,150g
ayam_brand_tuna_chunks_in_organic_extra_virgin_olive_oil,150g
